,店舗,緯度,経度,cluster_id
455,osaka_A2701_A270202_27072765,34.668282,135.511283,8
456,osaka_A2701_A270202_27075464,34.667122,135.51027,8
457,osaka_A2701_A270202_27076680,34.660475,135.502843,8
458,osaka_A2701_A270202_27077424,34.669221,135.498679,8
459,osaka_A2701_A270202_27077653,34.663242,135.504831,8
460,osaka_A2701_A270202_27078871,34.664862,135.503767,8
461,osaka_A2701_A270202_27079226,34.659523,135.505453,8
462,osaka_A2701_A270202_27080501,34.666229,135.505838,8
463,osaka_A2701_A270202_27081638,34.663591,135.503062,8
464,osaka_A2701_A270202_27084099,34.666234,135.499324,8
465,osaka_A2701_A270202_27084754,34.663731,135.504882,8
466,osaka_A2701_A270202_27086130,34.661048,135.508612,8
467,osaka_A2701_A270202_27095097,34.666586,135.501828,8
468,osaka_A2701_A270202_27096690,34.668267,135.505105,8
469,osaka_A2701_A270202_27096769,34.659849,135.504332,8
470,osaka_A2701_A270202_27098816,34.665511,135.498457,8
471,osaka_A2701_A270202_27101322,34.66276,135.503559,8
472,osaka_A2701_A270202_27111499,34.665463,135.50179,8
473,osaka_A2701_A270202_27111563,34.665463,135.50179,8
474,osaka_A2701_A270202_27112089,34.667138,135.499571,8
475,osaka_A2701_A270203_27002721,34.642737,135.51225,1
476,osaka_A2701_A270203_27002750,34.645332,135.514171,1
477,osaka_A2701_A270203_27004895,34.647772,135.509387,1
478,osaka_A2701_A270203_27008027,34.63406,135.516379,1
479,osaka_A2701_A270203_27008416,34.645043,135.514287,1
480,osaka_A2701_A270203_27010128,34.648444,135.524454,1
481,osaka_A2701_A270203_27011174,34.649991,135.522039,1
482,osaka_A2701_A270203_27015125,34.647931,135.514657,1
483,osaka_A2701_A270203_27017208,34.648861,135.513419,1
484,osaka_A2701_A270203_27019581,34.648126,135.513913,1
485,osaka_A2701_A270203_27021940,34.648357,135.513869,1
486,osaka_A2701_A270203_27042315,34.643065,135.523844,1
487,osaka_A2701_A270203_27046654,34.648383,135.524567,1
488,osaka_A2701_A270203_27049959,34.648584,135.513618,1
489,osaka_A2701_A270203_27056245,34.646008,135.511715,1
490,osaka_A2701_A270203_27056274,34.645849,135.511937,1
491,osaka_A2701_A270203_27056838,34.64588,135.511976,1
492,osaka_A2701_A270203_27059500,34.63406,135.516379,1
493,osaka_A2701_A270203_27062959,34.649376,135.513748,1
494,osaka_A2701_A270203_27064289,34.646468,135.511254,1
495,osaka_A2701_A270203_27066977,34.656254,135.514079,1
496,osaka_A2701_A270203_27072629,34.639674,135.511323,1
497,osaka_A2701_A270203_27086634,34.647848,135.515996,1
498,osaka_A2701_A270203_27088045,34.648865,135.524029,1
499,osaka_A2701_A270203_27100181,34.644634,135.511348,1
500,osaka_A2701_A270203_27110196,34.648646,135.514175,1
501,osaka_A2701_A270204_27000640,34.673509,135.517158,12
502,osaka_A2701_A270204_27004780,34.673469,135.520206,12
503,osaka_A2701_A270204_27004899,34.677834,135.516866,12
504,osaka_A2701_A270204_27009531,34.672342,135.516431,12
505,osaka_A2701_A270204_27010090,34.673708,135.533571,12
506,osaka_A2701_A270204_27012863,34.67395,135.536449,12
507,osaka_A2701_A270204_27024049,34.674694,135.51667,12
508,osaka_A2701_A270204_27042400,34.674246,135.533645,12
509,osaka_A2701_A270204_27059047,34.674179,135.534406,12
510,osaka_A2701_A270204_27060541,34.673667,135.530936,12
511,osaka_A2701_A270204_27060944,34.673642,135.515211,12
512,osaka_A2701_A270204_27065032,34.671625,135.514584,12
513,osaka_A2701_A270204_27067498,34.675666,135.52098,12
514,osaka_A2701_A270204_27069769,34.67688,135.52104,12
515,osaka_A2701_A270204_27075049,34.680104,135.533622,12
516,osaka_A2701_A270204_27091926,34.67346,135.517801,12
517,osaka_A2701_A270204_27097683,34.672817,135.512361,12
518,osaka_A2701_A270204_27098304,34.674018,135.534313,12
519,osaka_A2701_A270204_27099850,34.678935,135.516919,12
520,osaka_A2701_A270204_27104212,34.674269,135.51726,12
521,osaka_A2701_A270204_27118192,34.674285,135.532861,12
522,osaka_A2701_A270205_27000561,34.662009,135.535925,12
523,osaka_A2701_A270205_27000564,34.665643,135.529408,12
524,osaka_A2701_A270205_27000567,34.66541,135.528885,12
525,osaka_A2701_A270205_27000571,34.66495,135.529872,12
526,osaka_A2701_A270205_27000948,34.668594,135.519507,12
527,osaka_A2701_A270205_27002895,34.664654,135.517296,12
528,osaka_A2701_A270205_27003709,34.66636,135.532558,12
529,osaka_A2701_A270205_27004234,34.668168,135.520009,12
530,osaka_A2701_A270205_27007886,34.666255,135.53163,12
531,osaka_A2701_A270205_27011261,34.664356,135.5195,12
532,osaka_A2701_A270205_27011359,34.66564,135.518788,12
533,osaka_A2701_A270205_27012232,34.665645,135.532742,12
534,osaka_A2701_A270205_27014595,34.66564,135.518788,12
535,osaka_A2701_A270205_27015774,34.664905,135.532512,12
536,osaka_A2701_A270205_27020435,34.66624,135.530131,12
537,osaka_A2701_A270205_27027881,34.665821,135.530513,12
538,osaka_A2701_A270205_27050049,34.666243,135.530287,12
539,osaka_A2701_A270205_27050596,34.666998,135.514296,12
540,osaka_A2701_A270205_27054797,34.666314,135.530473,12
541,osaka_A2701_A270205_27060088,34.66613,135.533906,12
542,osaka_A2701_A270205_27060219,34.667012,135.522739,12
543,osaka_A2701_A270205_27079574,34.668186,135.529333,12
544,osaka_A2701_A270205_27087978,34.661973,135.533606,12
545,osaka_A2701_A270205_27091405,34.667362,135.530918,12
546,osaka_A2701_A270205_27091709,34.666193,135.53002,12
547,osaka_A2701_A270205_27094184,34.666156,135.52991,12
548,osaka_A2701_A270205_27097006,34.666221,135.523117,12
549,osaka_A2701_A270205_27114247,34.666307,135.529113,12
550,osaka_A2701_A270206_27000442,34.649803,135.506043,1
551,osaka_A2701_A270206_27000443,34.649694,135.506005,1
552,osaka_A2701_A270206_27001105,34.65329,135.506321,1
553,osaka_A2701_A270206_27001518,34.659849,135.506752,8
554,osaka_A2701_A270206_27002727,34.652638,135.505533,1
555,osaka_A2701_A270206_27002756,34.650243,135.506334,1
556,osaka_A2701_A270206_27002805,34.650471,135.50622,1
557,osaka_A2701_A270206_27002821,34.652982,135.506208,1
558,osaka_A2701_A270206_27002833,34.65029,135.506201,1
559,osaka_A2701_A270206_27003532,34.651589,135.506135,1
560,osaka_A2701_A270206_27004161,34.649524,135.502758,1
561,osaka_A2701_A270206_27004260,34.651602,135.506219,1
562,osaka_A2701_A270206_27005006,34.654572,135.500197,1
563,osaka_A2701_A270206_27005917,34.652813,135.506511,1
564,osaka_A2701_A270206_27008441,34.648705,135.505931,1
565,osaka_A2701_A270206_27009455,34.65142,135.505805,1
566,osaka_A2701_A270206_27009995,34.66881,135.490095,8
567,osaka_A2701_A270206_27011377,34.651006,135.505882,1
568,osaka_A2701_A270206_27013430,34.651602,135.506219,1
569,osaka_A2701_A270206_27015054,34.651395,135.506431,1
570,osaka_A2701_A270206_27016977,34.657328,135.500172,8
571,osaka_A2701_A270206_27017608,34.653775,135.505391,1
572,osaka_A2701_A270206_27020286,34.657328,135.500172,8
573,osaka_A2701_A270206_27025761,34.649289,135.505867,1
574,osaka_A2701_A270206_27032076,34.650614,135.506209,1
575,osaka_A2701_A270206_27032707,34.64692,135.50749,1
576,osaka_A2701_A270206_27042610,34.65035,135.506219,1
577,osaka_A2701_A270206_27042773,34.647787,135.503402,1
578,osaka_A2701_A270206_27045066,34.65035,135.506219,1
579,osaka_A2701_A270206_27049999,34.648299,135.505216,1
580,osaka_A2701_A270206_27052819,34.651198,135.506514,1
