店舗,緯度,経度
osaka_A2701_A270106_27002150,34.679796,135.501344
osaka_A2701_A270106_27007862,34.682762,135.494068
osaka_A2701_A270106_27008161,34.682335,135.50432
osaka_A2701_A270106_27012545,34.686914,135.499457
osaka_A2701_A270106_27014646,34.679857,135.504375
osaka_A2701_A270106_27017929,34.687226,135.498486
osaka_A2701_A270106_27049410,34.682375,135.493755
osaka_A2701_A270106_27050088,34.679422,135.507307
osaka_A2701_A270106_27060177,34.683332,135.49826
osaka_A2701_A270106_27067804,34.685926,135.504667
osaka_A2701_A270106_27071670,34.683871,135.509589
osaka_A2701_A270106_27072653,34.67719,135.508171
osaka_A2701_A270106_27077371,34.68282,135.505393
osaka_A2701_A270106_27077641,34.683273,135.495862
osaka_A2701_A270106_27079657,34.679035,135.49918
osaka_A2701_A270106_27081821,34.678592,135.498038
osaka_A2701_A270106_27082257,34.682524,135.502168
osaka_A2701_A270106_27083077,34.680328,135.49619
osaka_A2701_A270106_27086512,34.682578,135.50166
osaka_A2701_A270106_27086943,34.682273,135.504811
osaka_A2701_A270106_27087256,34.681371,135.495023
osaka_A2701_A270106_27087593,34.680557,135.511734
osaka_A2701_A270106_27089426,34.682236,135.509865
osaka_A2701_A270106_27090650,34.679527,135.498422
osaka_A2701_A270106_27090916,34.685747,135.507757
osaka_A2701_A270106_27091350,34.679787,135.5061
osaka_A2701_A270106_27092078,34.679388,135.510561
osaka_A2701_A270106_27094202,34.686322,135.497171
osaka_A2701_A270106_27094480,34.684546,135.508733
osaka_A2701_A270106_27100196,34.680458,135.493527
osaka_A2701_A270106_27107652,34.679364,135.503327
osaka_A2701_A270106_27111506,34.684149,135.503089
osaka_A2701_A270106_27115366,34.681864,135.506664
osaka_A2701_A270106_27118156,34.680198,135.501326
osaka_A2701_A270106_27121182,34.682968,135.496371
osaka_A2701_A270107_27001131,34.698735,135.535643
osaka_A2701_A270107_27001133,34.698184,135.534481
osaka_A2701_A270107_27002243,34.696469,135.531775
osaka_A2701_A270107_27002273,34.693512,135.526426
osaka_A2701_A270107_27003957,34.681251,135.531635
osaka_A2701_A270107_27004037,34.697599,135.533788
osaka_A2701_A270107_27004363,34.697801,135.534304
osaka_A2701_A270107_27004686,34.69738,135.53464
osaka_A2701_A270107_27004902,34.697375,135.535324
osaka_A2701_A270107_27005121,34.70003,135.534186
osaka_A2701_A270107_27006579,34.697776,135.53422
osaka_A2701_A270107_27007296,34.696902,135.533617
osaka_A2701_A270107_27007906,34.697373,135.534548
osaka_A2701_A270107_27007945,34.698399,135.535439
osaka_A2701_A270107_27008975,34.696174,135.531146
osaka_A2701_A270107_27013765,34.697781,135.534125
osaka_A2701_A270107_27013801,34.67797,135.535555
osaka_A2701_A270107_27014445,34.697941,135.534515
osaka_A2701_A270107_27015214,34.69669,135.533912
osaka_A2701_A270107_27017468,34.697595,135.534575
osaka_A2701_A270107_27017735,34.698228,135.533686
osaka_A2701_A270107_27018707,34.698316,135.53442
osaka_A2701_A270107_27019125,34.696364,135.529988
osaka_A2701_A270107_27036483,34.698424,135.533693
osaka_A2701_A270107_27041868,34.701002,135.533617
osaka_A2701_A270107_27042677,34.676614,135.532429
osaka_A2701_A270107_27044094,34.697841,135.530418
osaka_A2701_A270107_27049934,34.700778,135.534585
osaka_A2701_A270107_27052971,34.696676,135.530597
osaka_A2701_A270107_27055508,34.697373,135.535266
osaka_A2701_A270107_27075918,34.698684,135.534159
osaka_A2701_A270107_27077286,34.696803,135.533175
osaka_A2701_A270107_27079029,34.697365,135.53489
osaka_A2701_A270107_27083853,34.697859,135.533802
osaka_A2701_A270107_27087149,34.696116,135.531266
osaka_A2701_A270107_27088672,34.698511,135.53365
osaka_A2701_A270107_27089375,34.692917,135.525096
osaka_A2701_A270107_27090383,34.69791,135.533864
osaka_A2701_A270107_27107380,34.702083,135.528209
osaka_A2701_A270107_27109896,34.697373,135.534548
osaka_A2701_A270108_27000046,34.689085,135.476288
osaka_A2701_A270108_27001230,34.694589,135.487081
osaka_A2701_A270108_27002682,34.699901,135.489622
osaka_A2701_A270108_27002698,34.684286,135.477717
osaka_A2701_A270108_27003911,34.695902,135.486567
osaka_A2701_A270108_27005163,34.696462,135.486779
osaka_A2701_A270108_27005165,34.693531,135.487788
osaka_A2701_A270108_27009961,34.696022,135.486438
osaka_A2701_A270108_27015360,34.69329,135.486248
osaka_A2701_A270108_27017264,34.6966,135.486703
osaka_A2701_A270108_27032642,34.696888,135.486073
osaka_A2701_A270108_27042593,34.696407,135.487286
osaka_A2701_A270108_27049674,34.695865,135.486858
osaka_A2701_A270108_27050827,34.698627,135.486646
osaka_A2701_A270108_27053202,34.697819,135.485739
osaka_A2701_A270108_27053626,34.696625,135.472194
osaka_A2701_A270108_27054598,34.695399,135.487727
osaka_A2701_A270108_27057392,34.69955,135.485463
osaka_A2701_A270108_27058795,34.696185,135.485502
osaka_A2701_A270108_27058819,34.696364,135.484912
osaka_A2701_A270108_27058993,34.69377,135.485923
osaka_A2701_A270108_27066859,34.694544,135.486944
osaka_A2701_A270108_27072901,34.701004,135.486858
osaka_A2701_A270108_27075486,34.698984,135.485649
osaka_A2701_A270108_27077087,34.692468,135.475037
osaka_A2701_A270108_27077479,34.693589,135.485472
osaka_A2701_A270108_27077517,34.6927,135.475276
osaka_A2701_A270108_27083232,34.696364,135.486248
osaka_A2701_A270108_27085517,34.695394,135.485738
osaka_A2701_A270108_27091454,34.696338,135.486822
osaka_A2701_A270108_27091906,34.692812,135.475952
osaka_A2701_A270108_27092007,34.697296,135.486353
osaka_A2701_A270108_27092474,34.69637,135.487397
osaka_A2701_A270108_27093666,34.694629,135.486462
osaka_A2701_A270108_27095726,34.703076,135.487579
osaka_A2701_A270108_27096964,34.699799,135.486651
osaka_A2701_A270108_27097444,34.696302,135.473526
osaka_A2701_A270108_27098217,34.700149,135.489715
osaka_A2701_A270108_27106765,34.694893,135.486401
osaka_A2701_A270201_27000831,34.673743,135.501975
osaka_A2701_A270201_27000852,34.670271,135.500935
osaka_A2701_A270201_27000931,34.677965,135.502297
osaka_A2701_A270201_27001436,34.672245,135.497756
osaka_A2701_A270201_27001683,34.673659,135.504268
osaka_A2701_A270201_27001823,34.678255,135.50529
osaka_A2701_A270201_27001838,34.674199,135.503283
osaka_A2701_A270201_27003248,34.674659,135.503521
osaka_A2701_A270201_27004529,34.674232,135.501754
osaka_A2701_A270201_27005018,34.676391,135.494457
osaka_A2701_A270201_27005077,34.671824,135.501226
osaka_A2701_A270201_27005150,34.676995,135.495104
osaka_A2701_A270201_27011662,34.674441,135.502517
osaka_A2701_A270201_27012342,34.675897,135.50203
osaka_A2701_A270201_27012996,34.674384,135.492678
osaka_A2701_A270201_27013245,34.673424,135.502556
osaka_A2701_A270201_27013808,34.671115,135.509488
osaka_A2701_A270201_27013829,34.671821,135.502859
osaka_A2701_A270201_27014566,34.670552,135.499306
osaka_A2701_A270201_27015562,34.677803,135.50888
osaka_A2701_A270201_27040461,34.677874,135.49358
osaka_A2701_A270201_27041482,34.678464,135.502505
osaka_A2701_A270201_27043154,34.671734,135.50505
osaka_A2701_A270201_27044765,34.677804,135.502988
osaka_A2701_A270201_27045608,34.674804,135.500941
osaka_A2701_A270201_27050792,34.677087,135.508493
osaka_A2701_A270201_27051373,34.670453,135.498018
osaka_A2701_A270201_27053278,34.674624,135.501929
osaka_A2701_A270201_27064420,34.674039,135.498275
osaka_A2701_A270201_27067227,34.676885,135.496342
osaka_A2701_A270201_27073790,34.678673,135.501911
osaka_A2701_A270201_27085783,34.675819,135.4966
osaka_A2701_A270201_27086074,34.672829,135.501627
osaka_A2701_A270201_27086371,34.677821,135.501133
osaka_A2701_A270201_27088604,34.672853,135.496968
osaka_A2701_A270201_27090229,34.673907,135.504222
osaka_A2701_A270201_27091309,34.677679,135.502242
osaka_A2701_A270201_27093524,34.671804,135.505695
osaka_A2701_A270201_27094698,34.672596,135.505207
osaka_A2701_A270201_27094723,34.677742,135.493576
osaka_A2701_A270201_27094910,34.677922,135.502601
osaka_A2701_A270201_27101904,34.6763,135.495054
osaka_A2701_A270201_27104341,34.677664,135.501516
osaka_A2701_A270201_27105524,34.671037,135.501049
osaka_A2701_A270201_27110794,34.676336,135.502285
osaka_A2701_A270201_27112367,34.676212,135.494537
osaka_A2701_A270201_27120458,34.677427,135.505222
osaka_A2701_A270202_1023630,34.664139,135.50626
osaka_A2701_A270202_27000401,34.665391,135.506454
